ID;EmployeeID;Date;WorkHours;Overtime;MeetingsCount;MeetingHours;FocusHours;TasksCompleted;TasksPending
1;101;2026-04-01;8;0;3;1,5;4,5;7;2
2;102;2026-04-01;7,5;0;2;1;5;6;1
3;103;2026-04-01;11;3;9;5;1;4;10
4;104;2026-04-01;8,5;0,5;5;2,5;3;6;4
5;105;2026-04-01;10,5;2,5;8;4,5;1,5;6;9
6;106;2026-04-01;8;0;4;2;3,5;5;3
7;107;2026-04-01;9;1;6;3;2;6;6
8;108;2026-04-01;12;4;10;6;0,5;3;12
9;109;2026-04-01;7;0;1;0,5;5,5;8;1
10;110;2026-04-01;9,5;1,5;5;3;2,5;7;5
11;101;2026-04-02;9;1;5;3;2,5;6;5
12;102;2026-04-02;8;0;3;1,5;4,5;7;2
13;103;2026-04-02;10,5;2,5;8;4,5;1,5;5;9
14;104;2026-04-02;8;0;4;2;4;7;3
15;105;2026-04-02;11;3;9;5;1;5;11
16;106;2026-04-02;7,5;0;3;1,5;4;6;2
17;107;2026-04-02;9,5;1,5;7;3,5;2;5;7
18;108;2026-04-02;11,5;3,5;9;5;1;4;10
19;109;2026-04-02;7,5;0;2;1;5;7;2
20;110;2026-04-02;9;1;4;2,5;3;8;4
21;101;2026-04-03;10;2;4;2;3;6;6
22;102;2026-04-03;8;0;9;5;1,5;5;4
23;103;2026-04-03;8,5;0,5;4;2;4;7;3
24;104;2026-04-03;9;1;3;1,5;5;8;2
25;105;2026-04-03;11,5;3,5;5;3;2;5;7
26;106;2026-04-03;8;0;2;1;5;7;1
27;107;2026-04-03;9;1;4;2;3;4;9
28;108;2026-04-03;8;0;5;2,5;3;5;5
29;109;2026-04-03;7,5;0;2;1;5,5;8;1
30;110;2026-04-03;10;2;8;4;2;6;8
31;101;2026-04-04;8;0;2;1;5;8;2
32;102;2026-04-04;9,5;1,5;7;3,5;2;5;6
33;103;2026-04-04;11;3;4;2;2;6;5
34;104;2026-04-04;8,5;0,5;10;5,5;1;4;6
35;105;2026-04-04;9;1;3;1,5;4;6;9
36;106;2026-04-04;8;0;3;1,5;4,5;7;2
37;107;2026-04-04;10,5;2,5;6;3;2;5;10
38;108;2026-04-04;8;0;4;2;3,5;6;4
39;109;2026-04-04;9;1;5;2,5;3;6;5
40;110;2026-04-04;7,5;0;2;1;5;8;1
